long_id,treatment,time,pres,accmag,mean_strain,roi
U220910134118,50rpm_modified,10.64,101.9008331298828,-4.858141746014878,35.55479556807434,unlabeled
U220910134118,50rpm_modified,10.651,101.8988311767578,-4.719734767074974,57.84412586142299,unlabeled
U220910134118,50rpm_modified,10.661,101.85682678222656,-4.724353678029437,65.28087894208112,unlabeled
U220910134118,50rpm_modified,10.671,101.85832824707032,-4.781302230370381,58.98824171998578,unlabeled
U220910134118,50rpm_modified,10.682,101.90633239746094,-4.700430458361413,62.413612979463394,unlabeled
U220910134118,50rpm_modified,10.692,101.92733459472656,-4.2941318636701835,60.13235757855506,unlabeled
U220910134118,50rpm_modified,10.702,101.94232482910157,-3.945990932359392,77.28014282456242,unlabeled
U220910134118,50rpm_modified,10.713,101.97032775878907,-3.764679357733825,96.1371255422162,unlabeled
U220910134118,50rpm_modified,10.723,102.02832946777343,-3.4629375285381236,79.56837454169448,unlabeled
U220910134118,50rpm_modified,10.733,102.02533264160157,-3.151065978936498,86.99117498993112,unlabeled
U220910134118,50rpm_modified,10.743,101.96033020019533,-3.2098028981567337,86.41911706064974,unlabeled
U220910134118,50rpm_modified,10.754,101.94532775878906,-3.447005597360574,73.27573731959914,unlabeled
U220910134118,50rpm_modified,10.764,102.05632629394532,-3.160819367614931,124.71211674145593,unlabeled
U220910134118,50rpm_modified,10.774,102.20533142089843,-2.302503809134337,52.13052288481329,unlabeled
U220910134118,50rpm_modified,10.785,102.21483459472657,-1.505338721467986,100.13455473097521,unlabeled
U220910134118,50rpm_modified,10.795,102.19183044433593,-1.528726057022446,17.841928708996342,unlabeled
U220910134118,50rpm_modified,10.805,102.14582824707033,-1.6723529751489838,61.276473437104855,unlabeled
U220910134118,50rpm_modified,10.816,102.25433044433593,-1.5769266548436356,80.70551408404003,unlabeled
U220910134118,50rpm_modified,10.826,102.45283203125,-0.7049844701628025,75.31630981124314,unlabeled
U220910134118,50rpm_modified,10.836,102.573828125,-0.062852147263607,116.71377020582604,unlabeled
U220910134118,50rpm_modified,10.847,102.57383422851562,0.21623528801781156,74.40938870384582,unlabeled
U220910134118,50rpm_modified,10.857,102.6208251953125,0.1602662541785147,91.57112658228766,unlabeled
U220910134118,50rpm_modified,10.867,102.73633422851563,0.23280294403459223,98.41489278503215,unlabeled
U220910134118,50rpm_modified,10.878,102.823828125,0.7068718285436031,119.00200192295162,unlabeled
U220910134118,50rpm_modified,10.888,102.84083251953125,1.085086053742133,118.41599136124873,unlabeled
U220910134118,50rpm_modified,10.898,102.850830078125,1.0086270613073491,121.27628100765568,unlabeled
U220910134118,50rpm_modified,10.908,102.9603271484375,1.1221042693417544,122.42737318242924,unlabeled
U220910134118,50rpm_modified,10.919,103.22633056640625,1.5154802925981912,103.5634141485647,unlabeled
U220910134118,50rpm_modified,10.929,103.40682983398438,2.0809042310132835,130.99428948922866,unlabeled
U220910134118,50rpm_modified,10.94,103.40433349609376,2.41820107430655,98.41489278503215,unlabeled
U220910134118,50rpm_modified,10.95,103.41782836914062,1.9073712445024464,72.72112018084462,unlabeled
U220910134118,50rpm_modified,10.96,103.4663330078125,1.837699809410598,69.27481997273476,unlabeled
U220910134118,50rpm_modified,10.971,103.65732421875,2.1686186992395964,79.56488638358913,unlabeled
U220910134118,50rpm_modified,10.981,103.82732543945312,2.5324345959032932,43.30897103632804,unlabeled
U220910134118,50rpm_modified,10.991,103.94032592773438,3.0921778801701496,118.43692030988097,unlabeled
U220910134118,50rpm_modified,11.001,103.96533203125,3.462542894185953,156.72991999068068,unlabeled
U220910134118,50rpm_modified,11.012,104.12132568359375,3.4748785409769827,89.59682909464577,unlabeled
U220910134118,50rpm_modified,11.022,104.25382690429687,3.8733551642576383,80.45785485856496,unlabeled
U220910134118,50rpm_modified,11.032,104.29033203125,4.560769184168828,112.70238838464553,unlabeled
U220910134118,50rpm_modified,11.043,104.25783081054688,4.249050205024128,113.03027524655072,unlabeled
U220910134118,50rpm_modified,11.053,104.24533081054688,4.262224326375586,128.1479524752432,unlabeled
U220910134118,50rpm_modified,11.063,104.43983764648438,4.623766069516437,93.85238198320249,unlabeled
U220910134118,50rpm_modified,11.073,104.61983032226563,5.453476085421551,135.89166346917426,unlabeled
U220910134118,50rpm_modified,11.084,104.59633178710938,5.528751653858167,137.03577932773703,unlabeled
U220910134118,50rpm_modified,11.094,104.55082397460937,5.465244795603036,129.02696831779753,unlabeled
U220910134118,50rpm_modified,11.104,104.57632446289063,5.458985166720987,155.57185149969638,unlabeled
U220910134118,50rpm_modified,11.114,104.51333618164063,5.611404345682233,151.00236438165598,unlabeled
U220910134118,50rpm_modified,11.125,104.538330078125,5.209793613821647,197.86925668546584,unlabeled
U220910134118,50rpm_modified,11.135,104.50933227539062,5.210099373906505,159.0111753915955,unlabeled
U220910134118,50rpm_modified,11.145,104.51732788085937,5.262813659734997,196.73211714311384,unlabeled
U220910134118,50rpm_modified,11.156,104.56683349609375,5.26790429705602,212.15675228507925,unlabeled
U220910134118,50rpm_modified,11.166,104.62233276367188,5.317967364780088,145.281785088842,unlabeled
U220910134118,50rpm_modified,11.176,104.57433471679687,5.455785281673867,194.42993279356673,unlabeled
U220910134118,50rpm_modified,11.186,104.38533325195313,5.271143411688909,146.43287726361558,unlabeled
U220910134118,50rpm_modified,11.197,104.20833129882813,4.660501474761025,183.00970315657108,unlabeled
U220910134118,50rpm_modified,11.207,104.234326171875,4.295310603476613,132.13840534779146,unlabeled
U220910134118,50rpm_modified,11.217,104.40732421875,4.517630610623662,113.28839894634842,unlabeled
U220910134118,50rpm_modified,11.228,104.29533081054687,4.81016753868813,135.57075292347983,unlabeled
U220910134118,50rpm_modified,11.238,104.17283325195312,4.569558468421409,261.29094735738244,unlabeled
U220910134118,50rpm_modified,11.248,104.13883056640626,4.343483267264126,200.73652264808356,unlabeled
U220910134118,50rpm_modified,11.259,103.90233154296875,4.252525028135286,105.28656425261963,unlabeled
U220910134118,50rpm_modified,11.269,103.75882568359376,3.8034568311203216,128.14097615903245,unlabeled
U220910134118,50rpm_modified,11.279,103.74632568359375,3.953665842469878,104.1494247102676,unlabeled
U220910134118,50rpm_modified,11.29,103.70083618164063,4.001318030209234,194.4369091097775,unlabeled
U220910134118,50rpm_modified,11.3,103.64232177734375,4.173010934476924,167.57809169839493,unlabeled
U220910134118,50rpm_modified,11.31,103.5623291015625,4.178670150505766,150.43030645237457,unlabeled
U220910134118,50rpm_modified,11.327,103.43482666015625,4.330201264234555,116.14171227654464,unlabeled
