long_id,treatment,time,pres,accmag,mean_strain,roi,zeroX,ODBA
U300911094144,50rpm_modified,4.529,101.29313761393227,-3.0255620455647065,49.053967435873105,unlabeled,0,2.8631999377161286
U300911094144,50rpm_modified,4.539,101.2941365559896,-3.07554372463193,29.62143863083905,unlabeled,0,2.654300007000567
U300911094144,50rpm_modified,4.55,101.27780151367188,-2.9942390181277263,19.33486037809007,unlabeled,0,2.4483997619897138
U300911094144,50rpm_modified,4.56,101.23413696289063,-3.112791449796296,13.34220475305692,unlabeled,0,2.654000110700728
U300911094144,50rpm_modified,4.57,101.2208028157552,-3.127522778014696,9.81218875041807,unlabeled,0,2.7004001081734907
U300911094144,50rpm_modified,4.581,101.1998026529948,-3.2435167126483364,17.23847735676008,unlabeled,0,2.743800162300468
U300911094144,50rpm_modified,4.591,101.19647013346354,-3.014935387419639,28.669171468071852,unlabeled,0,3.5814001902192834
U300911094144,50rpm_modified,4.601,101.18546956380207,-3.0683606121267752,40.67192350865203,unlabeled,1,4.384000036343933
U300911094144,50rpm_modified,4.611,101.19513549804688,-3.0403986381203696,42.3880972965092,unlabeled,0,4.719500171765686
U300911094144,50rpm_modified,4.622,101.2371337890625,-2.8861136664001066,62.96125380200068,unlabeled,0,4.992600063905121
U300911094144,50rpm_modified,4.632,101.257470703125,-2.66839634863405,26.663480557481595,unlabeled,0,5.543200161084533
U300911094144,50rpm_modified,4.642,101.2688028971354,-2.390471895229606,34.38626260278043,unlabeled,0,6.465499720200897
U300911094144,50rpm_modified,4.653,101.2824666341146,-2.3733611048286933,48.1017002731189,unlabeled,0,6.6711998363584275
U300911094144,50rpm_modified,4.663,101.28413899739584,-2.2348496659343793,64.67742758984485,unlabeled,0,6.742700199708343
U300911094144,50rpm_modified,4.673,101.29346923828123,-2.2805842677436248,76.67669147233914,unlabeled,0,6.4057999988645316
U300911094144,50rpm_modified,4.683,101.30013631184896,-2.206698007645425,44.672840855529415,unlabeled,0,6.512900089845061
U300911094144,50rpm_modified,4.694,101.31980183919272,-2.115469403223071,67.53422907814647,unlabeled,0,6.505000042542816
U300911094144,50rpm_modified,4.704,101.34247029622396,-1.9731317663431085,87.53532765436952,unlabeled,0,6.369600357636811
U300911094144,50rpm_modified,4.714,101.35580240885416,-1.681420741870598,74.96051768449496,unlabeled,0,6.45489998780191
U300911094144,50rpm_modified,4.724,101.34547119140623,-1.8033028839387484,82.39029444894234,unlabeled,0,6.27889980278909
U300911094144,50rpm_modified,4.735,101.41880493164062,-1.77604093188285,87.53532765436952,unlabeled,0,6.0715998097509125
U300911094144,50rpm_modified,4.745,101.5151346842448,-1.2136578130790685,96.1092202773797,unlabeled,0,6.122299935445191
U300911094144,50rpm_modified,4.755,101.57347208658854,-0.9351194363423688,96.1092202773797,unlabeled,0,6.237400040253996
U300911094144,50rpm_modified,4.766,101.52313435872396,-1.2310196593263392,94.39304648954202,unlabeled,0,5.8230001672357306
U300911094144,50rpm_modified,4.776,101.45280354817707,-1.476597442980589,88.67595535483343,unlabeled,0,6.429999805316327
